2026-04-25 15:52:14,608: Logging to runs/lstm_strong_60ep_seed13_2504_155214/output.log initialized.
2026-04-25 15:52:14,608: ### Folder structure created at runs/lstm_strong_60ep_seed13_2504_155214
2026-04-25 15:52:14,608: ### Run configurations for lstm_strong_60ep_seed13
2026-04-25 15:52:14,608: experiment_name: lstm_strong_60ep_seed13
2026-04-25 15:52:14,608: run_dir: runs/lstm_strong_60ep_seed13_2504_155214
2026-04-25 15:52:14,608: train_basin_file: experiments/basin_lists/study_network_basins.txt
2026-04-25 15:52:14,608: validation_basin_file: experiments/basin_lists/study_network_basins.txt
2026-04-25 15:52:14,608: test_basin_file: experiments/basin_lists/study_network_basins.txt
2026-04-25 15:52:14,608: train_start_date: 1990-01-01 00:00:00
2026-04-25 15:52:14,608: train_end_date: 1999-12-31 00:00:00
2026-04-25 15:52:14,608: validation_start_date: 2000-01-01 00:00:00
2026-04-25 15:52:14,608: validation_end_date: 2004-12-31 00:00:00
2026-04-25 15:52:14,608: test_start_date: 2005-01-01 00:00:00
2026-04-25 15:52:14,608: test_end_date: 2008-12-31 00:00:00
2026-04-25 15:52:14,608: device: cpu
2026-04-25 15:52:14,608: validate_every: 1
2026-04-25 15:52:14,608: validate_n_random_basins: 23
2026-04-25 15:52:14,608: metrics: ['NSE']
2026-04-25 15:52:14,608: model: cudalstm
2026-04-25 15:52:14,608: head: regression
2026-04-25 15:52:14,608: output_activation: linear
2026-04-25 15:52:14,608: hidden_size: 64
2026-04-25 15:52:14,608: initial_forget_bias: 3
2026-04-25 15:52:14,608: output_dropout: 0.4
2026-04-25 15:52:14,608: optimizer: Adam
2026-04-25 15:52:14,608: loss: MSE
2026-04-25 15:52:14,608: learning_rate: {0: 0.001}
2026-04-25 15:52:14,609: batch_size: 256
2026-04-25 15:52:14,609: epochs: 60
2026-04-25 15:52:14,609: clip_gradient_norm: 1
2026-04-25 15:52:14,609: predict_last_n: 1
2026-04-25 15:52:14,609: seq_length: 30
2026-04-25 15:52:14,609: num_workers: 4
2026-04-25 15:52:14,609: log_interval: 5
2026-04-25 15:52:14,609: log_tensorboard: False
2026-04-25 15:52:14,609: seed: 13
2026-04-25 15:52:14,609: dataset: camels_us
2026-04-25 15:52:14,609: data_dir: datasets/camels_us
2026-04-25 15:52:14,609: use_basin_id_encoding: True
2026-04-25 15:52:14,609: forcings: ['maurer']
2026-04-25 15:52:14,609: dynamic_inputs: ['PRCP(mm/day)', 'SRAD(W/m2)', 'Tmax(C)', 'Tmin(C)', 'Vp(Pa)']
2026-04-25 15:52:14,609: target_variables: ['QObs(mm/d)']
2026-04-25 15:52:14,609: clip_targets_to_zero: ['QObs(mm/d)']
2026-04-25 15:52:14,609: static_attributes: ['elev_mean', 'area_gages2', 'slope_mean', 'p_mean', 'pet_mean']
2026-04-25 15:52:14,609: number_of_basins: 23
2026-04-25 15:52:14,609: train_dir: runs/lstm_strong_60ep_seed13_2504_155214/train_data
2026-04-25 15:52:14,609: img_log_dir: runs/lstm_strong_60ep_seed13_2504_155214/img_log
2026-04-25 15:52:14,610: ### Device cpu will be used for training
2026-04-25 15:52:14,641: Loading basin data into xarray data set.
2026-04-25 15:52:15,695: Create lookup table and convert to pytorch tensor
2026-04-25 15:52:42,380: Epoch 1 average loss: avg_loss: 0.40552, avg_total_loss: 0.40552
2026-04-25 15:52:49,513: Epoch 1 average validation loss: 0.95574 -- Median validation metrics: avg_loss: 0.95574, NSE: 0.15886
2026-04-25 15:53:14,552: Epoch 2 average loss: avg_loss: 0.30755, avg_total_loss: 0.30755
2026-04-25 15:53:18,588: Epoch 2 average validation loss: 0.91474 -- Median validation metrics: avg_loss: 0.91474, NSE: 0.39078
2026-04-25 15:53:40,013: Epoch 3 average loss: avg_loss: 0.26329, avg_total_loss: 0.26329
2026-04-25 15:53:44,502: Epoch 3 average validation loss: 0.89660 -- Median validation metrics: avg_loss: 0.89660, NSE: 0.42915
2026-04-25 15:54:06,359: Epoch 4 average loss: avg_loss: 0.24269, avg_total_loss: 0.24269
2026-04-25 15:54:10,053: Epoch 4 average validation loss: 0.88315 -- Median validation metrics: avg_loss: 0.88315, NSE: 0.39463
2026-04-25 15:54:30,164: Epoch 5 average loss: avg_loss: 0.21433, avg_total_loss: 0.21433
2026-04-25 15:54:33,893: Epoch 5 average validation loss: 0.87887 -- Median validation metrics: avg_loss: 0.87887, NSE: 0.27233
2026-04-25 15:54:53,952: Epoch 6 average loss: avg_loss: 0.20911, avg_total_loss: 0.20911
2026-04-25 15:54:57,712: Epoch 6 average validation loss: 0.87891 -- Median validation metrics: avg_loss: 0.87891, NSE: 0.42259
2026-04-25 15:55:20,142: Epoch 7 average loss: avg_loss: 0.19148, avg_total_loss: 0.19148
2026-04-25 15:55:23,947: Epoch 7 average validation loss: 0.87147 -- Median validation metrics: avg_loss: 0.87147, NSE: 0.41901
2026-04-25 15:55:48,732: Epoch 8 average loss: avg_loss: 0.18567, avg_total_loss: 0.18567
2026-04-25 15:55:52,618: Epoch 8 average validation loss: 0.87480 -- Median validation metrics: avg_loss: 0.87480, NSE: 0.43990
2026-04-25 15:56:17,400: Epoch 9 average loss: avg_loss: 0.17352, avg_total_loss: 0.17352
2026-04-25 15:56:21,330: Epoch 9 average validation loss: 0.86461 -- Median validation metrics: avg_loss: 0.86461, NSE: 0.44180
2026-04-25 15:56:42,603: Epoch 10 average loss: avg_loss: 0.17146, avg_total_loss: 0.17146
2026-04-25 15:56:47,338: Epoch 10 average validation loss: 0.88445 -- Median validation metrics: avg_loss: 0.88445, NSE: 0.34192
2026-04-25 15:57:11,086: Epoch 11 average loss: avg_loss: 0.15336, avg_total_loss: 0.15336
2026-04-25 15:57:15,612: Epoch 11 average validation loss: 0.87045 -- Median validation metrics: avg_loss: 0.87045, NSE: 0.44290
2026-04-25 15:57:39,696: Epoch 12 average loss: avg_loss: 0.15085, avg_total_loss: 0.15085
2026-04-25 15:57:43,689: Epoch 12 average validation loss: 0.87494 -- Median validation metrics: avg_loss: 0.87494, NSE: 0.37035
2026-04-25 15:58:08,847: Epoch 13 average loss: avg_loss: 0.14478, avg_total_loss: 0.14478
2026-04-25 15:58:12,503: Epoch 13 average validation loss: 0.87692 -- Median validation metrics: avg_loss: 0.87692, NSE: 0.39309
2026-04-25 15:58:32,568: Epoch 14 average loss: avg_loss: 0.14429, avg_total_loss: 0.14429
